route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Lucknow to Agra
From INR 428",https://www.redbus.in/bus-tickets/lucknow-to-agra,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:00,04h 45m,03:45,570,4.8,32 Seats available
"Lucknow to Agra
From INR 428",https://www.redbus.in/bus-tickets/lucknow-to-agra,Raj Kalpana Travels Pvt.ltd.,VE A/C Seater (2+2),14:00,04h 00m,18:00,599,4.1,32 Seats available
"Lucknow to Agra
From INR 428",https://www.redbus.in/bus-tickets/lucknow-to-agra,Sethi Yatra Company,N/A,20:00,04h 30m,00:30,713,4.3,23 Seats available
"Lucknow to Agra
From INR 428",https://www.redbus.in/bus-tickets/lucknow-to-agra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35 Seats available
"Lucknow to Agra
From INR 428",https://www.redbus.in/bus-tickets/lucknow-to-agra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22 Seats available
"Varanasi to Lucknow
From INR 472",https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,07h 30m,06:00,399,3.8,26 Seats available
"Varanasi to Lucknow
From INR 472",https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Yolo Bus,A/C Sleeper (2+1),22:15,07h 34m,05:49,749,3.8,14 Seats available
"Varanasi to Lucknow
From INR 472",https://www.redbus.in/bus-tickets/varanasi-to-lucknow,PTC-SKYBUS,A/C Seater/Sleeper (2+1),22:30,08h 00m,06:30,449,4.7,19 Seats available
"Varanasi to Lucknow
From INR 472",https://www.redbus.in/bus-tickets/varanasi-to-lucknow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32 Seats available
"Varanasi to Lucknow
From INR 472",https://www.redbus.in/bus-tickets/varanasi-to-lucknow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18 Seats available
"Bareilly to Haridwar
From INR 412",https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - FZG0001,Ordinary Non AC Seater 2+3,19:30,07h 30m,03:00,413,3.3,52 Seats available
"Bareilly to Haridwar
From INR 412",https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - ORI0085,Ordinary Non AC Seater 2+3,19:35,07h 55m,03:30,410,3.3,52 Seats available
"Bareilly to Haridwar
From INR 412",https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - ORI0135,Ordinary Non AC Seater 2+3,19:35,07h 55m,03:30,410,3.3,52 Seats available
"Bareilly to Haridwar
From INR 412",https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - STD0527,Ordinary Non AC Seater 2+3,20:35,06h 29m,03:04,405,3.3,52 Seats available
"Bareilly to Haridwar
From INR 412",https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - RKD0039,N/A,21:00,06h 55m,03:55,610,3.3,36 Seats available
"Delhi to Agra
From INR 295",https://www.redbus.in/bus-tickets/delhi-to-agra,FlixBus,A/C Seater (2+2),11:30,03h 50m,15:20,157,4.2,27 Seats available
"Delhi to Agra
From INR 295",https://www.redbus.in/bus-tickets/delhi-to-agra,FlixBus,A/C Seater (2+2),11:40,04h 00m,15:40,312,4.2,17 Seats available
"Delhi to Agra
From INR 295",https://www.redbus.in/bus-tickets/delhi-to-agra,NueGo,Electric A/C Seater (2+2),13:00,04h 50m,17:50,284,3.8,8 Seats available
"Delhi to Agra
From INR 295",https://www.redbus.in/bus-tickets/delhi-to-agra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28 Seats available
"Delhi to Agra
From INR 295",https://www.redbus.in/bus-tickets/delhi-to-agra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38 Seats available
"Delhi to Shahjahanpur (Uttar Pradesh)
From INR 529",https://www.redbus.in/bus-tickets/delhi-to-shahjahanpur,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,07h 00m,05:15,799,4.8,31 Seats available
"Agra to Delhi
From INR 295",https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),12:00,04h 45m,16:45,404,3.5,2 Seats available
"Agra to Delhi
From INR 295",https://www.redbus.in/bus-tickets/agra-to-delhi,FlixBus,A/C Seater (2+2),13:30,05h 10m,18:40,306,4.1,13 Seats available
"Agra to Delhi
From INR 295",https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),14:00,04h 45m,18:45,379,3.5,6 Seats available
"Agra to Delhi
From INR 295",https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),15:00,04h 45m,19:45,284,3.6,15 Seats available
"Agra to Delhi
From INR 295",https://www.redbus.in/bus-tickets/agra-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31 Seats available
"Lucknow to Ballia
From INR 575",https://www.redbus.in/bus-tickets/lucknow-to-ballia,Aadishakti Travels,Bharat Benz A/C Seater (2+2),22:30,06h 00m,04:30,3000,3.6,45 Seats available
